,Unnamed: 0,index,name,label,dataset,is_valid
0,3,241033,jslh/segmented neutrophil/Screenshot from 2023-08-28 10-56-37.png,neutrophil,jslh,False
1,4,241034,jslh/segmented neutrophil/Screenshot from 2023-08-28 10-56-07.png,neutrophil,jslh,False
2,5,241035,jslh/segmented neutrophil/Screenshot from 2023-08-28 10-55-37.png,neutrophil,jslh,False
3,7,241037,jslh/segmented neutrophil/Screenshot from 2023-08-28 10-55-49.png,neutrophil,jslh,False
4,8,241038,jslh/segmented neutrophil/Screenshot from 2023-08-28 10-55-54.png,neutrophil,jslh,False
5,9,241039,jslh/segmented neutrophil/Screenshot from 2023-08-28 10-56-23.png,neutrophil,jslh,False
6,17,241091,jslh/orthochromatic erythroblast/Screenshot from 2023-08-28 11-05-47.png,erythroblast,jslh,False
7,20,241094,jslh/basophilic erythroblast/Screenshot from 2023-08-28 10-58-43.png,erythroblast,jslh,False
8,32,241106,jslh/basophilic erythroblast/Screenshot from 2023-08-28 10-58-31.png,erythroblast,jslh,False
9,37,241111,jslh/band neutrophil/Screenshot from 2023-08-28 10-53-56.png,neutrophil,jslh,False
10,42,241116,jslh/band neutrophil/Screenshot from 2023-08-28 10-53-48.png,neutrophil,jslh,True
11,43,241117,jslh/band neutrophil/Screenshot from 2023-08-28 10-52-47.png,neutrophil,jslh,True
12,52,241137,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-02-03.png,erythroblast,jslh,True
13,55,241140,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-03-54.png,erythroblast,jslh,True
14,65,241150,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-04-26.png,erythroblast,jslh,True
15,66,241151,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-00-45.png,erythroblast,jslh,True
16,67,241152,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-01-08.png,erythroblast,jslh,True
17,72,241157,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-04-18.png,erythroblast,jslh,True
18,75,241160,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-04-21.png,erythroblast,jslh,True
19,76,241161,jslh/polychromatic erythroblast/Screenshot from 2023-08-28 11-01-23.png,erythroblast,jslh,True
