Epoch;Loss;Train precision;Val precision;Precision per class
0;0.4669803977012634;72.00740342271538;;[96.8, 61.1, 68.1, 48.1, 78.2, 78.2, 92.2, 80.4, 95.6, 85.3, 65.9, 53.7, 63.6, 55.0, 62.8, 72.9, 50.2, 80.8, 80.1, 73.0, 60.9]
0;0.4669803977012634;;70.1057622173596;[0.0, 73.1, 51.2, 63.7, 80.0, 94.2, 85.7, 74.5, 100.0, 60.0, 57.0, 65.8, 67.0, 53.6, 40.8, 78.5, 37.6, 86.4, 90.1, 81.4, 80.1]
1;0.7413528561592102;81.50238423034492;;[99.4, 73.2, 87.0, 63.3, 84.9, 90.1, 98.4, 92.2, 98.8, 96.7, 75.4, 65.7, 74.1, 65.9, 68.9, 79.1, 60.5, 94.2, 86.5, 83.7, 68.0]
1;0.7413528561592102;;67.04595185995623;[0.0, 61.5, 53.7, 58.2, 72.2, 80.7, 57.1, 85.5, 100.0, 26.7, 69.4, 70.6, 83.2, 58.2, 65.7, 60.2, 61.7, 90.9, 89.3, 81.0, 66.1]
2;0.7416166663169861;84.07261189471093;;[99.6, 75.5, 91.9, 68.4, 86.4, 91.9, 98.8, 94.7, 99.3, 98.2, 77.6, 69.3, 78.1, 69.1, 71.5, 80.8, 65.5, 96.1, 87.8, 85.8, 72.5]
2;0.7416166663169861;;73.04886943836615;[0.0, 73.4, 53.7, 84.2, 80.2, 93.0, 42.9, 78.2, 100.0, 20.0, 60.7, 55.4, 64.8, 53.5, 79.5, 68.1, 55.7, 86.4, 79.8, 88.0, 82.2]
3;0.4342426061630249;85.52959089707237;;[99.7, 77.2, 94.5, 70.8, 86.7, 92.7, 99.2, 96.4, 99.4, 98.6, 80.2, 72.3, 80.0, 71.3, 72.6, 82.8, 68.3, 97.1, 90.1, 87.7, 72.8]
3;0.4342426061630249;;76.42231947483589;[0.0, 72.4, 50.0, 77.0, 83.0, 88.8, 28.6, 85.5, 66.7, 33.3, 78.1, 75.2, 73.2, 63.6, 66.3, 77.3, 57.1, 81.8, 86.2, 83.4, 73.5]
4;0.7100754380226135;86.65195707473627;;[99.7, 79.0, 95.5, 72.4, 88.2, 93.9, 99.2, 97.2, 99.4, 98.8, 80.5, 73.7, 82.7, 72.2, 75.0, 82.9, 72.1, 98.0, 90.5, 88.5, 75.0]
4;0.7100754380226135;;75.86797957695113;[0.0, 75.4, 47.6, 70.4, 86.4, 92.5, 57.1, 61.8, 33.3, 46.7, 75.3, 72.7, 71.9, 68.1, 75.8, 69.8, 46.2, 88.6, 89.0, 85.9, 74.6]
5;0.3196989893913269;87.43879867613673;;[99.7, 80.0, 96.8, 75.2, 87.2, 94.2, 99.2, 97.9, 99.4, 99.0, 81.5, 76.9, 83.5, 73.6, 75.6, 83.7, 75.5, 98.0, 90.7, 89.6, 75.4]
5;0.3196989893913269;;74.17943107221006;[0.0, 78.4, 47.6, 75.4, 82.6, 93.6, 28.6, 65.5, 100.0, 46.7, 67.2, 77.1, 67.5, 60.0, 75.2, 64.3, 68.2, 86.4, 90.6, 88.0, 76.4]
6;0.11401990056037903;88.09525980360871;;[99.8, 81.1, 96.9, 75.1, 88.3, 95.1, 99.3, 97.9, 99.5, 99.0, 82.5, 78.0, 84.5, 74.9, 76.9, 84.2, 76.7, 98.2, 92.3, 89.8, 76.4]
6;0.11401990056037903;;76.38584974471189;[0.0, 68.0, 48.8, 65.4, 85.6, 94.9, 14.3, 61.8, 33.3, 26.7, 79.4, 74.4, 69.4, 68.2, 68.3, 81.8, 64.8, 79.5, 92.3, 92.1, 58.8]
7;0.7265263795852661;88.74169166385543;;[99.8, 81.4, 97.5, 77.1, 89.2, 95.1, 99.5, 98.0, 99.6, 99.4, 82.7, 79.8, 85.5, 75.3, 77.7, 84.6, 79.1, 98.6, 92.4, 91.0, 77.2]
7;0.7265263795852661;;78.11816192560175;[0.0, 81.7, 47.6, 62.8, 85.0, 92.1, 42.9, 54.5, 33.3, 20.0, 81.6, 76.5, 80.7, 55.3, 70.4, 80.6, 62.7, 77.3, 86.2, 81.1, 74.6]
8;0.8323965668678284;89.38174126314063;;[99.8, 82.1, 97.9, 77.5, 89.3, 95.8, 99.5, 98.3, 99.5, 99.3, 83.6, 82.4, 87.7, 75.8, 79.1, 84.9, 80.3, 98.9, 92.9, 91.0, 78.4]
8;0.8323965668678284;;76.75419401896426;[0.0, 70.6, 52.4, 73.7, 89.4, 93.3, 28.6, 69.1, 66.7, 33.3, 73.1, 63.3, 76.9, 72.5, 73.2, 74.3, 60.2, 90.9, 81.8, 90.0, 73.3]
9;0.6975433826446533;89.82211726948641;;[99.8, 82.7, 98.1, 79.4, 90.1, 95.6, 99.6, 98.2, 99.6, 99.2, 83.9, 83.1, 87.4, 78.0, 79.7, 84.4, 81.3, 98.7, 93.5, 92.3, 78.9]
9;0.6975433826446533;;77.82640408460978;[0.0, 77.6, 47.6, 85.6, 90.2, 94.2, 42.9, 69.1, 33.3, 6.7, 70.3, 65.8, 69.5, 67.1, 77.5, 73.2, 55.7, 81.8, 87.5, 86.6, 75.6]
10;0.2621026635169983;90.49590167671113;;[99.8, 83.7, 98.2, 80.6, 89.9, 96.0, 99.6, 98.3, 99.7, 99.3, 84.9, 85.2, 88.7, 78.8, 80.3, 85.6, 83.2, 98.8, 94.1, 92.6, 79.2]
10;0.2621026635169983;;77.05324580598104;[0.0, 79.9, 35.4, 86.2, 84.8, 93.6, 28.6, 67.3, 100.0, 33.3, 63.4, 66.7, 67.3, 68.7, 69.2, 82.1, 61.0, 86.4, 87.3, 82.5, 73.4]
