Epoch;Loss;Train precision;Val precision;Precision per class
0;0.19481708109378815;84.09385986666472;;[96.0, 79.6, 9.4, 49.6, 92.5, 62.6, 0.0, 0.0, 0.0, 0.0, 88.3, 15.5, 31.0, 22.9, 30.8, 94.7, 5.5, 9.3, 82.3, 71.4, 83.0]
0;0.19481708109378815;;75.90371991247265;[0.0, 86.6, 35.5, 53.3, 96.2, 85.7, 0.0, 2.1, 0.0, 0.0, 82.4, 28.6, 38.9, 34.5, 29.4, 93.6, 24.3, 20.5, 64.1, 81.1, 79.1]
1;0.16406014561653137;89.17781441012998;;[99.4, 86.6, 30.2, 62.2, 95.9, 82.8, 0.0, 0.9, 0.0, 0.0, 92.1, 28.9, 45.0, 36.9, 42.4, 96.5, 13.8, 29.4, 91.3, 83.0, 88.7]
1;0.16406014561653137;;79.7490882567469;[0.0, 85.1, 32.3, 68.4, 93.8, 80.1, 0.0, 5.3, 0.0, 0.0, 89.9, 28.3, 56.6, 48.6, 32.4, 97.6, 12.8, 17.8, 74.8, 89.2, 83.1]
2;0.030870845541357994;90.25295773826022;;[99.4, 88.3, 35.1, 65.3, 96.7, 84.6, 0.0, 7.6, 0.0, 0.0, 92.9, 39.0, 50.6, 39.1, 43.2, 96.9, 19.5, 45.2, 92.3, 85.0, 89.9]
2;0.030870845541357994;;78.71334792122538;[0.0, 85.6, 22.6, 49.1, 95.0, 78.0, 0.0, 20.0, 0.0, 0.0, 93.3, 31.6, 45.2, 59.6, 34.8, 96.8, 12.3, 52.1, 74.0, 86.3, 75.9]
3;0.04382111132144928;91.13480867700477;;[99.7, 90.1, 37.8, 68.8, 96.9, 86.5, 0.0, 21.6, 0.0, 0.0, 93.7, 39.9, 54.6, 45.8, 45.9, 97.1, 22.5, 61.1, 93.2, 86.4, 90.7]
3;0.04382111132144928;;80.02042304886943;[0.0, 84.4, 19.4, 57.0, 93.9, 84.5, 0.0, 32.6, 0.0, 0.0, 94.2, 29.2, 61.9, 33.2, 30.8, 98.7, 20.4, 63.0, 78.4, 85.0, 90.8]
4;0.0177909042686224;91.65049818378094;;[99.6, 90.5, 41.9, 70.1, 97.3, 88.3, 0.0, 19.6, 0.0, 0.0, 94.1, 43.7, 53.2, 44.5, 49.2, 97.2, 26.9, 59.9, 93.7, 88.7, 90.7]
4;0.0177909042686224;;82.56455142231947;[0.0, 86.9, 46.2, 65.5, 95.0, 87.5, 0.0, 3.2, 0.0, 0.0, 95.0, 20.1, 58.4, 41.4, 65.1, 94.7, 19.8, 65.8, 72.5, 85.1, 90.4]
5;0.15133823454380035;92.06334155129908;;[99.8, 91.0, 44.4, 71.8, 97.2, 89.0, 0.0, 29.7, 0.0, 0.0, 94.3, 41.7, 55.0, 46.8, 49.3, 97.4, 24.3, 64.9, 94.4, 88.9, 91.6]
5;0.15133823454380035;;82.49744711889132;[0.0, 84.8, 41.9, 77.5, 93.4, 89.8, 0.0, 7.4, 0.0, 0.0, 95.9, 17.5, 46.7, 45.1, 50.3, 97.0, 23.0, 64.4, 84.2, 86.6, 86.6]
